,13391_bright_pixels,13391_bright_columns,13391_dark_pixels,13391_dark_columns,13401_bright_pixels,13401_bright_columns,13401_dark_pixels,13401_dark_columns,13505_bright_pixels,13505_bright_columns,13505_dark_pixels,13505_dark_columns,13550_bright_pixels,13550_bright_columns,13550_dark_pixels,13550_dark_columns,DetectorNumber,Manufacturer,Raft
R20_S20,24.0,2.0,27460.0,0.0,19.0,2.0,27516.0,0.0,24.0,2.0,27069.0,0.0,24.0,2.0,27233.0,0.0,78,ITL,R20
R20_S21,10.0,1.0,24662.0,0.0,10.0,1.0,24600.0,0.0,11.0,1.0,24583.0,0.0,11.0,1.0,24583.0,0.0,79,ITL,R20
R20_S22,26.0,0.0,24327.0,0.0,22.0,0.0,24340.0,0.0,25.0,0.0,24347.0,0.0,25.0,0.0,24344.0,0.0,80,ITL,R20
R21_S00,24.0,0.0,27591.0,20.0,20.0,0.0,27546.0,20.0,24.0,0.0,27291.0,20.0,24.0,0.0,27272.0,20.0,81,E2V,R21
R21_S01,8.0,0.0,27893.0,20.0,6.0,0.0,27821.0,20.0,7.0,0.0,27469.0,20.0,7.0,0.0,27466.0,20.0,82,E2V,R21
R21_S02,21.0,0.0,26815.0,21.0,12.0,0.0,26799.0,21.0,18.0,0.0,26730.0,21.0,18.0,0.0,26693.0,21.0,83,E2V,R21
R21_S10,12.0,0.0,27979.0,20.0,9.0,0.0,27902.0,20.0,9.0,0.0,27718.0,20.0,9.0,0.0,27690.0,20.0,84,E2V,R21
R21_S11,1454.0,0.0,28805.0,20.0,1456.0,0.0,28774.0,20.0,1472.0,0.0,28840.0,20.0,1470.0,0.0,28822.0,20.0,85,E2V,R21
R21_S12,13.0,0.0,27117.0,20.0,6.0,0.0,27051.0,20.0,10.0,0.0,26968.0,20.0,10.0,0.0,26924.0,20.0,86,E2V,R21
R21_S20,19.0,0.0,30732.0,20.0,11.0,0.0,30685.0,20.0,17.0,0.0,29689.0,20.0,17.0,0.0,29626.0,20.0,87,E2V,R21
R21_S21,14.0,0.0,27216.0,20.0,13.0,0.0,27107.0,20.0,13.0,0.0,26951.0,20.0,13.0,0.0,26911.0,20.0,88,E2V,R21
R21_S22,1.0,0.0,26276.0,20.0,1.0,0.0,26316.0,20.0,1.0,0.0,25720.0,20.0,1.0,0.0,25745.0,20.0,89,E2V,R21
R22_S00,20.0,0.0,25284.0,26.0,13.0,0.0,25278.0,25.0,17.0,0.0,25246.0,25.0,17.0,0.0,25245.0,25.0,90,E2V,R22
R22_S01,39.0,3.0,28201.0,20.0,63.0,1.0,28022.0,20.0,37.0,3.0,27678.0,20.0,37.0,3.0,27679.0,20.0,91,E2V,R22
R22_S02,17.0,0.0,28906.0,20.0,11.0,0.0,28826.0,20.0,15.0,0.0,28530.0,20.0,15.0,0.0,28555.0,20.0,92,E2V,R22
R22_S10,6.0,0.0,27117.0,20.0,4.0,0.0,26977.0,20.0,5.0,0.0,26718.0,20.0,5.0,0.0,26713.0,20.0,93,E2V,R22
